12311	3.52
16171	3.41
7303	3.63
15195	3.81
13566	4.2
4302	3.8200000000000003
8548	3.43
5786	4.11
11827	4.22
7917	3.51
8791	3.8200000000000003
13297	3.75
4615	3.6
14437	3.46
11872	2.55
2848	3.65
11481	3.33
1626	3.77
12648	3.81
15955	4.13
15783	3.65
8364	3.89
1106	3.9
9850	3.2800000000000002
12871	3.05
15265	3.73
3411	3.66
12584	4.65
5919	3.74
3498	4.61
10190	3.49
457	3.74
9210	3.86
5018	4.05
471	3.91
2205	4.13
12	3.9699999999999998
1872	3.54
5514	3.95
16496	3.92
16212	4.13
12452	3.89
1255	3.33
3711	3.5
567	3.8200000000000003
2917	3.22
12222	3.4
15830	3.9699999999999998
296	4.16
12341	4.11
12821	3.46
5615	3.77
6593	3.74
14131	3.71
15427	4.37
4289	3.62
12870	3.33
13212	3.32
110	3.55
16474	3.89
4124	3.7
8506	3.56
12098	3.66
777	4.0
9474	3.96
12399	3.73
4838	4.14
14111	3.45
5037	4.03
9307	3.83
5132	3.79
15116	3.61
15581	3.65
11726	4.23
4346	4.05
4864	3.47
2145	3.93
2534	3.9699999999999998
2743	3.93
5174	3.68
9042	4.04
14115	3.76
15087	3.83
13078	3.38
4000	3.88
5891	3.67
15932	3.92
13620	3.26
1560	3.48
12454	3.96
14569	3.35
7296	3.9
9051	2.46
7504	3.47
1937	4.11
4045	3.91
5306	3.5700000000000003
6863	3.26
10748	4.17
3599	4.27
6330	3.46
9689	3.68
9502	3.96
5594	3.75
3842	4.05
6947	4.34
7680	3.52
7087	4.02
6830	3.91
4284	3.92
2421	3.86
10751	4.35
4708	3.83
14599	3.32
5949	4.46
15049	3.55
14744	3.83
9779	4.43
15367	3.89
9572	3.83
10100	4.05
1452	3.71
3598	4.28
3898	4.18
4944	3.99
16116	3.25
15483	3.5700000000000003
1042	4.29
2835	3.9
11850	3.81
2637	3.83
7401	3.36
5093	4.09
4792	3.55
5676	3.83
14625	3.91
2001	3.94
7933	4.04
438	3.99
5924	3.64
387	4.18
9178	3.85
10963	3.5300000000000002
11409	4.24
13454	4.01
2471	4.04
1862	3.46
16283	3.66
1841	3.43
12104	3.65
10028	4.06
6142	4.03
1163	4.65
1365	4.17
13455	3.98
1657	4.01
4383	4.08
15944	3.19
3543	4.46
5107	3.6
11765	3.29
2586	3.98
14635	4.06
5492	3.59
14289	3.63
12803	3.85
850	4.09
3737	4.04
16208	4.1
13031	4.71
5303	3.79
463	3.41
5752	3.8200000000000003
2287	3.99
10250	4.04
9146	3.08
14843	3.61
4839	3.85
7025	3.91
11179	3.76
11389	3.8200000000000003
715	3.42
5790	3.6
13527	2.31
7863	3.8
295	3.87
4281	3.5300000000000002
3667	3.98
2924	3.86
12115	3.52
15009	3.92
12075	3.16
4744	4.16
1284	3.34
15821	3.46
8063	3.5700000000000003
2419	4.33
10321	3.96
6263	4.2
3375	4.03
13673	4.04
345	4.21
10867	4.43
13234	4.44
7572	3.9
6838	3.24
8024	4.24
505	3.42
7490	4.0
9143	4.1
6742	3.88
9455	3.86
6114	4.4
10548	3.18
13075	3.71
12988	3.96
10067	3.84
15124	3.5300000000000002
4610	3.44
4136	3.42
11930	3.5300000000000002
9192	3.74
5421	4.06
4337	3.68
